,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
196,"Kendall-Perrine, FL",," $437,158 ",38.7 years, 45.0 ,37.0 years, 122.7 ," $78,580 "," 169,007."," 3,752 "
197,"Kendall, FL", 10 feet," $363,900 ",42.1 years, 16.1 ,42.2 years, 112.0 ," $62,796 "," 77,619"," 4,813 "
198,Key Biscayne, 4 feet," over $1,000,000 ",42.1 years, 1.28 ,44.7 years, 128.8 ," $129,321 "," 12,924 (100% urban, 0% rural). "," 10,117 "
199,Key Largo, 6 feet," $397,917 ",42.1 years, 12.2 ,52.4 years, 100.5 ," $63,359 "," 10,433. ", 859 
200,Key West, 8 feet," $549,686 ",42.1 years, 5.95 ,40.3 years, 111.5 ," $63,746 "," 25,704 (100% urban, 0% rural). "," 4,323 "
201,"Keystone, FL", 40 feet," $411,952 ",42.1 years, 36.1 ,43.9 years, 98.2 ," $116,790 "," 24,039. ", 666 
202,"Kings Point, FL", 15 feet," $92,602 ",38.7 years, 1.82 ,77.7 years, 101.4 ," $31,958 "," 13,597."," 7,461 "
203,Kissimmee, 70 feet," $161,300 ",42.1 years, 16.7 ,33.0 years, 92.6 ," $37,232 "," 69,369"," 4,159 "
204,"La Belle, FL", 16 feet," $86,931 ",38.7 years, 519.3 ,30.6 years, 84.9 ," $38,990 "," 19,514.", 38 
205,Lady Lake, 75 feet," $145,560 ",42.1 years, 6.62 ,65.2 years, 91.7 ," $42,787 "," 14,455 (100% urban, 0% rural). "," 2,184 "
206,Lake Butter, 90 feet," $667,603 ",38.7 years, 12.9 ,37.9 years, 105.6 ," $141,437 "," 8,339.", 644 
207,"Lake City, FL", 188 feet," $107,024 ",42.1 years, 10.6 ,38.5 years, 81.9 ," $34,700 "," 12,100 (99% urban, 1% rural). "," 1,146 "
208,"Lake Lorraine, FL", 5 feet," $264,316 ",42.1 years, 2.04 ,42.6 years, 90.4 ," $63,356 "," 7,010. "," 3,436 "
209,Lake Lucerne, 7 feet," $186,015 ",38.7 years, 2.61 ,29.1 years, 114.2 ," $44,913 "," 9,919."," 3,793 "
210,Lake Magdalene, 45 feet," $224,807 ",42.1 years, 10.6 ,43.6 years, 95.4 ," $56,924 "," 28,509. "," 2,696 "
211,Lake Mary, 63 feet," $328,010 ",42.1 years, 8.61 ,45.7 years, 93.7 ," $95,237 "," 15,801 (100% urban, 0% rural). "," 1,835 "
212,"Lake Park, FL", 5 feet," $181,469 ",42.1 years, 2.17 ,38.2 years, 100.3 ," $48,099 "," 8,448 (100% urban, 0% rural). "," 3,893 "
213,Lake Wales, 147 feet," $132,359 ",42.1 years, 13.3 ,35.6 years, 86.4 ," $40,183 "," 15,140 (93% urban, 7% rural). "," 1,134 "
214,Lake Worth Corridor, 15 feet," $179,811 ",38.7 years, 3.42 ,27.7 years, 106.3 ," $41,229 "," 20,788."," 6,074 "
215,"Lake Worth, FL", 19 feet," $183,405 ",42.1 years, 5.64 ,36.3 years, 102.0 ," $37,540 "," 37,097 (100% urban, 0% rural). "," 6,574 "
216,Lakeland Highlands, 220 feet," $237,633 ",42.1 years, 5.58 ,44.2 years, 88.8 ," $89,180 "," 11,056. "," 1,980 "
217,"Lakeland, FL", 190 feet," $140,900 ",42.1 years, 45.8 ,41.1 years, 87.3 ," $47,311 "," 106,419"," 2,321 "
218,Lakes by the Bay, 5 feet," $290,502 ",38.7 years, 4.85 ,33.0 years, 117.4 ," $62,883 "," 9,835."," 2,027 "
219,"Lakeside, FL",," $161,115 ",42.1 years, 15.2 ,40.1 years, 88.0 ," $52,088 "," 30,943. "," 2,042 "
220,"Lakewood Park, FL",," $111,605 ",42.1 years, 6.70 ,52.8 years, 88.7 ," $50,894 "," 11,323. "," 1,691 "
221,Land O' Lakes, 81 feet," $226,585 ",42.1 years, 18.6 ,42.7 years, 95.5 ," $71,701 "," 31,996. "," 1,719 "
222,"Lantana, FL", 10 feet," $181,711 ",42.1 years, 2.28 ,40.7 years, 100.5 ," $47,435 "," 10,996 (100% urban, 0% rural). "," 4,818 "
223,"Largo, FL", 40 feet," $123,600 ",42.1 years, 15.7 ,50.1 years, 94.9 ," $39,384 "," 83,077"," 5,304 "
224,"Lauderdale Lakes, FL", 7 feet," $113,622 ",42.1 years, 3.59 ,36.2 years, 111.7 ," $33,675 "," 34,410 (100% urban, 0% rural). "," 9,586 "
225,Lauderdale-by-the-Sea, 2 feet," $507,650 ",42.1 years, 0.51 ,59.4 years, 125.6 ," $53,788 "," 6,388 (100% urban, 0% rural). "," 12,642 "
226,Lauderhill, 7 feet," $134,600 ",42.1 years, 7.30 ,33.3 years, 111.5 ," $41,756 "," 71,635"," 9,819 "
227,"Laurel, FL", 8 feet," $224,586 ",42.1 years, 5.21 ,59.0 years, 96.8 ," $50,634 "," 8,171. "," 1,567 "
228,Lealman, 49 feet," $186,500
",42.1 years,,45.6 years, 94.5 ," $50,036"," 19,879.",
229,"Leesburg, FL", 79 feet," $134,285 ",42.1 years, 18.7 ,37.8 years, 90.9 ," $37,313 "," 21,524 (97% urban, 3% rural). "," 1,153 "
230,Lehigh Acres, 23 feet," $140,200 ",42.1 years, 94.9 ,33.1 years, 91.5 ," $46,904 "," 115,673"," 1,219 "
231,Leisure City, 11 feet," $130,741 ",42.1 years, 3.41 ,33.1 years, 106.6 ," $35,053 "," 22,655. "," 6,637 "
232,Lighthouse Point, 6 feet," $492,565 ",42.1 years, 2.29 ,51.0 years, 119.2 ," $78,937 "," 10,953 (100% urban, 0% rural). "," 4,776 "
233,"Live Oak, FL", 102 feet," $91,620 ",42.1 years, 6.96 ,33.9 years, 79.9 ," $31,265 "," 6,969 (93% urban, 7% rural). "," 1,002 "
234,"Lockhart, FL", 97 feet," $127,143 ",42.1 years, 4.37 ,33.4 years, 90.8 ," $49,214 "," 13,060. "," 2,990 "
235,Longboat Key, 9 feet," $797,016 ",42.1 years, 4.92 ,72.1 years, 106.2 ," $87,650 "," 7,143 (100% urban, 0% rural). "," 1,453 "
236,"Longwood, FL", 75 feet," $185,238 ",42.1 years, 5.32 ,43.8 years, 91.9 ," $59,827 "," 13,877 (100% urban, 0% rural). "," 2,609 "
237,Lower Keys,," $473,961 ",38.7 years, 54.3 ,45.8 years, 118.2 ," $73,796 "," 10,859.", 200 
238,Lutz, 71 feet," $277,793 ",42.1 years, 21.5 ,42.1 years, 95.5 ," $74,864 "," 19,344. ", 901 
239,Lynn Haven, 10 feet," $201,648 ",42.1 years, 8.15 ,38.4 years, 87.9 ," $60,664 "," 19,792 (100% urban, 0% rural). "," 2,428 "
240,Macclenny, 131 feet," $136,660 ",42.1 years, 3.29 ,35.7 years, 81.7 ," $55,635 "," 6,417 (98% urban, 2% rural). "," 1,950 "
241,"Maitland, FL", 91 feet," $374,408 ",42.1 years, 4.64 ,40.6 years, 95.2 ," $66,669 "," 16,823 (100% urban, 0% rural). "," 3,624 "
242,Mango, 56 feet," $110,298 ",42.1 years, 4.59 ,32.3 years, 94.3 ," $38,008 "," 11,313. "," 2,466 "
243,"Marathon, FL", 3 feet," $395,134 ",42.1 years, 8.65 ,41.3 years, 102.7 ," $55,890 "," 8,708 (98% urban, 2% rural). "," 1,007 "
244,Marco Island,," $660,645 ",38.7 years, 10.6 ,60.1 years, 115.3 ," $76,530 "," 18,357."," 1,736 "
245,Margate, 12 feet," $165,202 ",42.1 years, 8.81 ,43.9 years, 113.4 ," $43,438 "," 56,061 (100% urban, 0% rural). "," 6,365 "
246,"Marianna, FL", 117 feet," $115,206 ",42.1 years, 8.03 ,39.0 years, 83.1 ," $25,163 "," 9,249 (92% urban, 8% rural). "," 1,152 "
247,Matanzas,," $217,393 ",38.7 years, 61.2 ,47.2 years, 94.9 ," $63,183 "," 15,969.", 261 
248,McAlpin-Wellborn,," $111,850 ",38.7 years, 194.2 ,40.2 years, 84.6 ," $40,929 "," 7,833.", 40 
249,"McGregor, FL",," $340,694 ",42.1 years, 2.56 ,51.8 years, 95.4 ," $65,834 "," 7,406. "," 2,889 "
250,Meadow Woods,," $198,353 ",42.1 years, 11.4 ,35.2 years, 93.0 ," $54,890 "," 25,558. "," 2,247 "
251,Medulla, 150 feet," $181,503 ",42.1 years, 5.68 ,37.6 years, 87.1 ," $53,454 "," 8,892. "," 1,567 "
252,Melbourne Shores-Floridana Beach,," $322,334 ",38.7 years, 6.95 ,53.1 years, 99.9 ," $68,983 "," 7,307."," 1,051 "
253,"Melbourne, FL", 21 feet," $153,900 ",42.1 years, 30.2 ,42.6 years, 90.1 ," $43,822 "," 81,192"," 2,689 "
254,"Melrose Park, FL", 10 feet," $224,794 ",38.7 years, 0.90 ,31.5 years, 119.3 ," $59,484 "," 7,616."," 8,433 "
255,"Memphis, FL", 19 feet," $137,242 ",42.1 years, 3.16 ,36.7 years, 94.1 ," $42,348 "," 7,848. "," 2,482 "
256,Merritt Island, 15 feet," $228,222 ",42.1 years, 17.7 ,49.4 years, 90.9 ," $55,477 "," 34,743. "," 1,968 "
257,Miami Beach, 4 feet," $479,400 ",42.1 years, 7.03 ,43.1 years, 122.6 ," $53,685 "," 91,905"," 13,067 "
258,Miami Lakes, 6 feet," $391,623 ",42.1 years, 5.96 ,38.8 years, 111.1 ," $75,019 "," 30,791 (100% urban, 0% rural). "," 5,169 "
259,Miami Shores, 10 feet," $530,160 ",42.1 years, 2.46 ,40.6 years, 113.5 ," $104,956 "," 10,861 (100% urban, 0% rural). "," 4,424 "
260,Miami Springs, 4 feet," $356,479 ",42.1 years, 2.94 ,45.5 years, 111.7 ," $56,868 "," 14,415 (100% urban, 0% rural). "," 4,906 "
261,"Miami, FL", 11 feet," $277,700 ",42.1 years, 35.7 ,40.6 years, 115.3 ," $34,901 "," 453,584"," 12,715 "
262,Micco, 23 feet," $81,908 ",42.1 years, 9.41 ,66.4 years, 88.5 ," $33,981 "," 9,052. ", 962 
263,Middle Keys,," $395,363 ",38.7 years, 12.4 ,45.5 years, 116.4 ," $56,319 "," 11,111.", 895 
264,Middleburg-Clay Hill,," $150,018 ",38.7 years, 139.6 ,33.2 years, 90.9 ," $53,967 "," 37,033.", 265 
265,"Middleburg, FL", 29 feet," $131,183 ",42.1 years, 18.3 ,41.3 years, 87.4 ," $49,179 "," 13,008. ", 711 
266,"Milton, FL", 66 feet," $122,372 ",42.1 years, 4.37 ,34.9 years, 85.4 ," $55,004 "," 9,445 (98% urban, 2% rural). "," 2,160 "
267,Mims, 33 feet," $120,061 ",42.1 years, 19.8 ,50.9 years, 87.9 ," $53,408 "," 7,058. ", 357 
268,"Minneola, FL", 125 feet," $163,825 ",42.1 years, 3.06 ,34.9 years, 91.6 ," $60,503 "," 10,351 (98% urban, 2% rural). "," 3,388 "
269,Miramar Beach, 5 feet," $394,626 ",42.1 years, 4.60 ,58.5 years, 92.4 ," $70,846 "," 6,146. "," 1,337 "
270,"Miramar, FL", 6 feet," $275,800 ",42.1 years, 29.5 ,38.5 years, 113.6 ," $61,767 "," 138,461"," 4,694 "
271,Mount Dora, 175 feet," $235,083 ",42.1 years, 4.92 ,48.4 years, 92.1 ," $53,176 "," 13,182 (100% urban, 0% rural). "," 2,681 "
272,Myakka, 44 feet," $424,435 ",38.7 years, 314.7 ,37.7 years, 95.5 ," $88,588 "," 22,834.", 73 
273,"Myrtle Grove, FL", 46 feet," $108,091 ",42.1 years, 6.60 ,34.2 years, 85.3 ," $38,825 "," 15,870. "," 2,403 "
274,"Naples, FL", 9 feet," $942,518 ",42.1 years, 12.0 ,66.8 years, 106.8 ," $86,880 "," 20,968 (100% urban, 0% rural). "," 1,744 "
275,Naranja, 10 feet," $154,250 ",42.1 years, 1.52 ,27.5 years, 106.9 ," $33,771 "," 8,303. "," 5,464 "
276,"Navarre, FL", 28 feet," $189,100
",42.1 years,,37.3 years, 87.7 ," $63,619"," 31,378.",
277,Neptune Beach, 10 feet," $380,224 ",42.1 years, 2.45 ,42.1 years, 92.2 ," $78,490 "," 7,180 (100% urban, 0% rural). "," 2,932 "
278,New Port Richey East,," $90,610 ",42.1 years, 3.61 ,48.0 years, 94.1 ," $32,033 "," 10,036. "," 2,781 "
279,New Port Richey, 14 feet," $77,191 ",42.1 years, 4.51 ,48.0 years, 93.1 ," $31,172 "," 15,527 (100% urban, 0% rural). "," 3,443 "
280,New Smyrna Beach, 8 feet," $252,595 ",42.1 years, 27.7 ,57.5 years, 91.7 ," $53,951 "," 23,658 (96% urban, 4% rural). ", 855 
281,Niceville, 51 feet," $223,375 ",42.1 years, 10.9 ,37.7 years, 89.2 ," $62,985 "," 14,387 (100% urban, 0% rural). "," 1,317 "
282,Norland, 10 feet," $209,677 ",38.7 years, 3.61 ,30.4 years, 116.0 ," $46,288 "," 24,978."," 6,919 "
283,North Andrews Gardens, 10 feet," $209,951 ",38.7 years, 1.09 ,36.0 years, 121.2 ," $54,191 "," 10,337."," 9,510 "
284,North Bay Village, 6 feet," $298,905 ",42.1 years, 0.33 ,37.3 years, 115.8 ," $57,408 "," 7,871 (100% urban, 0% rural). "," 23,693 "
285,North Fort Myers, 7 feet," $88,502 ",42.1 years, 52.6 ,65.3 years, 90.1 ," $42,384 "," 39,407. ", 749 
286,North Lauderdale, 11 feet," $134,546 ",42.1 years, 3.88 ,32.0 years, 112.6 ," $43,034 "," 43,214 (100% urban, 0% rural). "," 11,143 "
287,North Miami Beach, 10 feet," $186,516 ",42.1 years, 4.96 ,38.3 years, 109.5 ," $39,530 "," 43,664 (100% urban, 0% rural). "," 8,811 "
288,"North Miami, FL", 13 feet," $189,394 ",42.1 years, 8.46 ,35.1 years, 109.5 ," $38,940 "," 61,420 (100% urban, 0% rural). "," 7,262 "
289,North Okeechobee,," $126,761 ",38.7 years, 646.2 ,34.6 years, 86.4 ," $43,319 "," 8,151.", 13 
290,North Palm Beach, 25 feet," $313,424 ",42.1 years, 3.56 ,52.6 years, 103.5 ," $63,767 "," 12,483 (100% urban, 0% rural). "," 3,506 "
291,North Peninsula,," $182,498 ",38.7 years, 8.30 ,49.9 years, 95.4 ," $43,259 "," 31,503."," 3,794 "
292,North Port, 11 feet," $176,101 ",42.1 years, 74.8 ,46.7 years, 94.3 ," $56,050 "," 60,380 (95% urban, 5% rural). ", 808 
293,North Sarasota, 35 feet," $104,152 ",42.1 years, 3.78 ,42.2 years, 93.6 ," $39,700 "," 6,982. "," 1,846 "
294,North Weeki Wachee,," $165,077 ",42.1 years, 7.36 ,53.9 years, 94.4 ," $50,680 "," 8,524. "," 1,159 "
295,"North Westside, FL",," $228,653 ",38.7 years, 32.6 ,34.6 years, 117.1 ," $47,286 "," 110,020."," 3,371 "
296,Northdale,," $195,800
",42.1 years,,39.9 years, 96.0 ," $54,588"," 22,079.",
297,Northeast Leon,," $280,293 ",38.7 years, 129.9 ,37.6 years, 95.5 ," $93,009 "," 49,416.", 380 
298,"Northwest Dade, FL",," $204,288 ",38.7 years, 17.0 ,31.0 years, 115.0 ," $50,134 "," 113,920."," 6,684 "
299,Northwest Leon,," $201,136 ",38.7 years, 20.1 ,32.8 years, 94.0 ," $67,518 "," 23,081."," 1,150 "
300,"Oak Ridge, FL", 90 feet," $110,758 ",42.1 years, 4.16 ,31.5 years, 91.2 ," $32,264 "," 22,685. "," 5,452 "
301,Oakland Park,," $199,143 ",42.1 years, 6.30 ,40.0 years, 114.2 ," $47,550 "," 43,800 (100% urban, 0% rural). "," 6,952 "
302,Oakleaf Plantation,," $170,300
",42.1 years,,33.8 years, 90.9 ," $56,315"," 20,315.",
303,Ocala, 73 feet," $133,994 ",42.1 years, 38.6 ,37.8 years, 85.4 ," $36,937 "," 57,586 (100% urban, 0% rural). "," 1,491 "
304,Ocoee, 130 feet," $223,979 ",42.1 years, 13.2 ,35.9 years, 92.1 ," $64,197 "," 41,073 (100% urban, 0% rural). "," 3,104 "
305,"Odessa, FL", 58 feet," $270,049 ",42.1 years, 5.30 ,38.4 years, 96.2 ," $67,138 "," 7,267. "," 1,372 "
306,Ojus, 5 feet," $188,675 ",42.1 years, 2.79 ,44.1 years, 108.3 ," $48,049 "," 18,036. "," 6,474 "
307,Oldsmar, 8 feet," $192,894 ",42.1 years, 8.92 ,39.6 years, 95.6 ," $57,916 "," 13,913 (100% urban, 0% rural). "," 1,561 "
308,Olympia Heights, 6 feet," $332,490 ",42.1 years, 2.72 ,48.2 years, 112.2 ," $63,117 "," 13,488. "," 4,955 "
309,Opa-locka North,," $185,312 ",38.7 years, 2.17 ,25.4 years, 115.0 ," $45,491 "," 6,760."," 3,110 "
310,Opa-locka, 7 feet," $118,626 ",42.1 years, 4.33 ,31.9 years, 108.5 ," $18,627 "," 16,460 (100% urban, 0% rural). "," 3,800 "
311,"Orange City, FL", 35 feet," $92,587 ",42.1 years, 6.05 ,45.3 years, 88.5 ," $36,919 "," 11,056 (99% urban, 1% rural). "," 1,827 "
312,Orange Park, 24 feet," $169,868 ",42.1 years, 3.90 ,44.3 years, 88.6 ," $47,456 "," 8,606 (100% urban, 0% rural). "," 2,209 "
313,"Orlando, FL", 106 feet," $224,600 ",42.1 years, 93.5 ,33.1 years, 93.3 ," $46,761 "," 277,198"," 2,965 "
314,Orlovista, 109 feet," $98,930 ",42.1 years, 1.93 ,34.6 years, 90.4 ," $34,468 "," 6,123. "," 3,172 "
315,Ormond Beach, 6 feet," $198,869 ",42.1 years, 25.7 ,50.9 years, 89.8 ," $52,603 "," 39,075 (97% urban, 3% rural). "," 1,517 "
316,Ormond-By-The-Sea,," $192,197 ",42.1 years, 1.99 ,57.5 years, 91.1 ," $44,897 "," 7,406. "," 3,730 "
317,Osprey, 14 feet," $433,130 ",42.1 years, 5.46 ,60.5 years, 98.1 ," $78,623 "," 6,100. "," 1,118 "
318,Oviedo, 48 feet," $294,209 ",42.1 years, 15.1 ,35.4 years, 93.0 ," $86,305 "," 38,020 (99% urban, 1% rural). "," 2,512 "
319,"Pace, FL", 70 feet," $184,415 ",42.1 years, 9.38 ,38.9 years, 85.6 ," $67,129 "," 20,039. "," 2,136 "
320,Pahokee, 15 feet," $93,216 ",42.1 years, 5.39 ,34.5 years, 97.2 ," $29,070 "," 6,029 (93% urban, 7% rural). "," 1,118 "
321,Palatka, 73 feet," $75,539 ",42.1 years, 6.96 ,35.6 years, 79.9 ," $25,476 "," 10,387 (100% urban, 0% rural). "," 1,493 "
322,"Palm Bay, FL", 19 feet," $128,600 ",42.1 years, 63.6 ,43.0 years, 89.3 ," $45,712 "," 110,107"," 1,730 "
323,Palm Beach Gardens, 20 feet," $385,575 ",42.1 years, 55.7 ,50.4 years, 103.8 ," $75,838 "," 51,919 (100% urban, 0% rural). ", 932 
324,Palm Beach, 15 feet," over $1,000,000 ",42.1 years, 3.92 ,68.5 years, 111.7 ," $119,843 "," 8,503 (100% urban, 0% rural). "," 2,168 "
325,Palm City, 5 feet," $348,097 ",42.1 years, 14.6 ,51.3 years, 93.3 ," $74,993 "," 23,120. "," 1,580 "
326,Palm Coast, 10 feet," $198,700 ",42.1 years, 50.7 ,47.9 years, 93.5 ," $49,371 "," 88,337"," 1,742 "
327,Palm Harbor, 50 feet," $211,130 ",42.1 years, 17.9 ,51.0 years, 96.2 ," $58,360 "," 57,439. "," 3,206 "
328,Palm River-Clair Mel,," $122,112 ",42.1 years, 11.7 ,37.1 years, 94.3 ," $40,867 "," 21,024. "," 1,796 "
329,Palm River-East Tampa,," $144,184 ",38.7 years, 26.0 ,33.3 years, 98.7 ," $49,630 "," 28,996."," 1,116 "
330,"Palm Springs, FL", 15 feet," $116,823 ",42.1 years, 1.61 ,33.3 years, 100.1 ," $36,063 "," 21,728 (100% urban, 0% rural). "," 13,486 "
331,"Palm Valley, FL", 8 feet," $469,727 ",42.1 years, 13.4 ,49.1 years, 91.2 ," $110,168 "," 20,019. "," 1,493 "
332,Palmetto Bay,," $265,200
",42.1 years,,42.4 years, 107.0 ," $45,935"," 24,513 (100% urban, 0% rural).",
333,Palmetto Estates, 10 feet," $200,789 ",42.1 years, 2.12 ,37.3 years, 108.8 ," $54,935 "," 13,535. "," 6,371 "
334,"Palmetto, FL", 10 feet," $137,000 ",42.1 years, 4.32 ,47.7 years, 94.1 ," $42,263 "," 13,082 (100% urban, 0% rural). "," 3,031 "
335,Panama City Beaches,," $226,106 ",38.7 years, 36.6 ,41.0 years, 94.6 ," $53,247 "," 29,429.", 804 
336,Panama City Beach, 7 feet," $227,893 ",42.1 years, 6.94 ,41.0 years, 89.8 ," $53,887 "," 12,408 (98% urban, 2% rural). "," 1,787 "
337,Panama City, 33 feet," $147,300 ",42.1 years, 20.5 ,41.2 years, 87.7 ," $38,855 "," 37,681 (100% urban, 0% rural). "," 1,836 "
338,"Parkland, FL", 15 feet," $596,212 ",42.1 years, 10.2 ,41.0 years, 120.1 ," $131,340 "," 28,131 (100% urban, 0% rural). "," 2,759 "
339,"Parrish, FL", 44 feet," $273,445 ",38.7 years, 296.6 ,44.8 years, 99.9 ," $66,535 "," 9,754.", 33 
340,"Pasadena Hills, FL",," $145,000
",42.1 years,,46.1 years, 94.6 ," $46,264"," 7,570.",
341,Paxton-Darlington,," $163,303 ",38.7 years, 325.4 ,39.9 years, 87.2 ," $50,770 "," 9,989.", 31 
342,Pebble Creek, 15 feet," $258,259 ",42.1 years, 2.98 ,40.8 years, 96.8 ," $86,078 "," 7,622. "," 2,559 "
343,"Pelican Bay, FL", 10 feet," over $1,000,000 ",42.1 years, 3.24 ,75.2 years, 107.6 ," $117,878 "," 6,346. "," 1,958 "
344,Pembroke Park, 10 feet," $83,453 ",42.1 years, 1.41 ,33.4 years, 110.8 ," $35,898 "," 6,287 (100% urban, 0% rural). "," 4,457 "
345,"Pembroke Pines, FL", 7 feet," $266,900 ",42.1 years, 33.1 ,40.6 years, 114.7 ," $62,812 "," 168,587"," 5,100 "
346,"Pensacola, FL", 32 feet," $156,705 ",42.1 years, 22.7 ,39.5 years, 86.2 ," $44,607 "," 53,068 (100% urban, 0% rural). "," 2,338 "
347,"Perry, FL", 42 feet," $90,079 ",42.1 years, 9.29 ,37.7 years, 79.2 ," $32,531 "," 7,031 (88% urban, 12% rural). ", 757 
348,Pierson-Seville,," $161,328 ",38.7 years, 186.3 ,34.3 years, 87.4 ," $44,351 "," 9,624.", 52 
349,Pine Castle, 101 feet," $147,348 ",42.1 years, 2.62 ,34.4 years, 91.9 ," $36,345 "," 10,805. "," 4,130 "
350,"Pine Hills, FL",," $121,800 ",42.1 years, 7.68 ,36.0 years, 91.0 ," $38,365 "," 76,048"," 9,900 "
351,"Pine Ridge, FL", 90 feet," $212,125 ",42.1 years, 25.2 ,63.0 years, 85.6 ," $51,684 "," 9,598. ", 380 
352,Pinecrest,," over $1,000,000 ",42.1 years, 7.54 ,42.5 years, 114.7 ," $135,964 "," 19,251 (100% urban, 0% rural). "," 2,554 "
353,Pinellas Park, 18 feet," $135,583 ",42.1 years, 14.7 ,45.5 years, 94.9 ," $44,276 "," 50,946 (100% urban, 0% rural). "," 3,454 "
354,"Pinewood, FL", 5 feet," $145,134 ",42.1 years, 1.72 ,36.1 years, 108.5 ," $29,919 "," 16,520. "," 9,620 "
355,Plant City, 130 feet," $155,798 ",42.1 years, 22.6 ,36.5 years, 94.3 ," $48,473 "," 36,627 (100% urban, 0% rural). "," 1,619 "
356,"Plantation, FL",," $339,800 ",42.1 years, 21.7 ,39.7 years, 116.5 ," $64,862 "," 92,717"," 4,265 "
357,Poinciana, 65 feet," $172,531 ",42.1 years, 35.1 ,36.9 years, 91.9 ," $45,863 "," 53,193. "," 1,515 "
358,Pompano Beach Highlands, 12 feet," $196,305 ",38.7 years, 1.35 ,34.5 years, 121.5 ," $44,011 "," 6,964."," 5,176 "
359,"Pompano Beach, FL", 13 feet," $204,400 ",42.1 years, 20.6 ,39.4 years, 115.2 ," $42,736 "," 109,380"," 5,322 "
360,Ponte Vedra, 15 feet," $542,113 ",38.7 years, 33.8 ,41.8 years, 101.5 ," $114,912 "," 37,924."," 1,122 "
361,Port Charlotte, 8 feet," $145,626 ",42.1 years, 22.3 ,52.5 years, 91.5 ," $38,123 "," 54,392. "," 2,442 "
362,Port Orange, 20 feet," $170,425 ",42.1 years, 24.7 ,47.8 years, 89.9 ," $49,795 "," 58,742 (100% urban, 0% rural). "," 2,378 "
363,Port Salerno, 14 feet," $216,932 ",42.1 years, 3.62 ,49.8 years, 92.2 ," $45,857 "," 10,091. "," 2,789 "
364,Port St. John, 5 feet," $120,178 ",42.1 years, 3.82 ,42.6 years, 89.2 ," $50,627 "," 12,267. "," 3,213 "
365,Port St. Lucie-River Park,," $120,738 ",38.7 years, 2.34 ,50.8 years, 94.2 ," $37,314 "," 6,968."," 2,983 "
366,"Port St. Lucie, FL", 20 feet," $177,200 ",42.1 years, 75.5 ,41.9 years, 90.8 ," $51,447 "," 185,136"," 2,451 "
367,"Princeton, FL", 8 feet," $186,396 ",42.1 years, 7.35 ,32.4 years, 107.5 ," $52,887 "," 22,038. "," 3,000 "
368,Punta Gorda, 61 feet," $350,790 ",42.1 years, 14.2 ,67.1 years, 94.6 ," $55,287 "," 17,596 (100% urban, 0% rural). "," 1,242 "
369,"Quincy, FL", 187 feet," $112,836 ",42.1 years, 7.62 ,40.4 years, 87.7 ," $35,545 "," 7,914 (95% urban, 5% rural). "," 1,039 "
370,"Richmond Heights, FL", 10 feet," $187,475 ",42.1 years, 1.65 ,39.8 years, 109.5 ," $44,667 "," 8,541. "," 5,162 "
371,Richmond West, 10 feet," $268,918 ",42.1 years, 4.18 ,39.9 years, 109.9 ," $73,179 "," 31,973. "," 7,652 "
372,"Riverview, FL",," $191,300 ",42.1 years, 9.14 ,33.4 years, 94.8 ," $66,545 "," 88,941"," 9,726 "
373,"Riviera Beach, FL", 11 feet," $175,294 ",42.1 years, 8.34 ,38.0 years, 100.7 ," $43,733 "," 33,649 (100% urban, 0% rural). "," 4,037 "
374,"Rockledge, FL", 43 feet," $175,133 ",42.1 years, 10.7 ,46.4 years, 90.1 ," $58,506 "," 26,071 (100% urban, 0% rural). "," 2,436 "
375,Rotonda, 5 feet," $244,465 ",42.1 years, 11.0 ,66.5 years, 93.0 ," $46,358 "," 8,759. ", 796 
376,Royal Palm Beach-West Jupiter,," $323,754 ",38.7 years, 181.9 ,39.6 years, 108.4 ," $77,280 "," 82,604.", 454 
377,Royal Palm Beach, 18 feet," $254,225 ",42.1 years, 9.89 ,38.6 years, 102.0 ," $70,928 "," 37,015 (100% urban, 0% rural). "," 3,742 "
378,"Ruskin, FL", 11 feet," $189,250 ",42.1 years, 14.2 ,32.1 years, 94.9 ," $52,616 "," 17,208. "," 1,209 "
379,Safety Harbor, 14 feet," $256,363 ",42.1 years, 4.92 ,49.7 years, 96.5 ," $65,457 "," 17,234 (100% urban, 0% rural). "," 3,505 "
380,San Carlos Park, 16 feet," $156,542 ",42.1 years, 4.86 ,38.2 years, 92.3 ," $52,108 "," 16,824. "," 3,465 "
381,Sandalfoot Cove, 15 feet," $230,684 ",38.7 years, 2.97 ,39.4 years, 108.3 ," $56,533 "," 18,470."," 6,223 "
382,"Sanderson, FL", 156 feet," $119,286 ",38.7 years, 456.0 ,32.9 years, 84.4 ," $55,063 "," 12,231.", 27 
383,"Sanford, FL", 35 feet," $128,251 ",42.1 years, 19.1 ,34.8 years, 91.1 ," $41,883 "," 57,525 (100% urban, 0% rural). "," 3,011 "
384,Sanibel Island,," $844,472 ",38.7 years, 24.4 ,60.3 years, 115.5 ," $100,863 "," 8,676.", 356 
385,Sanibel, 6 feet," $854,200 ",42.1 years, 17.2 ,67.1 years, 101.9 ," $108,103 "," 7,056 (70% urban, 30% rural). ", 410 
386,Sarasota Springs, 25 feet," $184,122 ",42.1 years, 3.62 ,45.7 years, 95.9 ," $55,969 "," 14,395. "," 3,980 "
